id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-unix__winegstreamer.so	lib/wine/aarch64-unix/winegstreamer.so	elf	misc	True	389272	8139aaacdce3774590d23fa75698aacda0d69ebbaff1d38a7d53210df70fbf2a	ELF64	AArch64	DYN (Shared object file)	winegstreamer.so	13	ntdll.so|libgstgl-1.0.so|libgstapp-1.0.so|libgstvideo-1.0.so|libgstaudio-1.0.so|libglib-2.0.so.0|libgobject-2.0.so.0|libgio-2.0.so.0|libgsttag-1.0.so|libgstbase-1.0.so|libgstreamer-1.0.so|libdl.so|libc.so	3	348	0	0	memfd|ntdll|proton|steam|wine|wow64
lib__wine__aarch64-unix__wineps.so	lib/wine/aarch64-unix/wineps.so	elf	misc	True	54376	4258413e029cc993a630c960bd90714355d19304435d17dc9fd4784e53196eda	ELF64	AArch64	DYN (Shared object file)	wineps.so	5	ntdll.so|win32u.so|libm.so|libdl.so|libc.so	2	25	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__winepulse.so	lib/wine/aarch64-unix/winepulse.so	elf	cpu_translation	True	120696	562c67c32230b24b30abb1378ad225f6a64b983b5fab78ff8098f4328ed64f00	ELF64	AArch64	DYN (Shared object file)	winepulse.so	5	ntdll.so|libpulse.so|libm.so|libdl.so|libc.so	3	97	0	0	box64|memfd|ntdll|wine|wow64
lib__wine__aarch64-unix__winevulkan.so	lib/wine/aarch64-unix/winevulkan.so	elf	graphics_translation	True	1253920	2914989c67034b41af804303f8f8f38d152b039ee2f13c852551f2d5fb0e5cb0	ELF64	AArch64	DYN (Shared object file)	winevulkan.so	4	ntdll.so|win32u.so|libdl.so|libc.so	8	67	0	1	memfd|ntdll|vulkan|wine|wow64
lib__wine__aarch64-unix__winex11.so	lib/wine/aarch64-unix/winex11.so	elf	display_windowing	True	643496	3afb9d6f0179d155343be074d57645625893e9647fa0b49f7f1eb0d018bb0342	ELF64	AArch64	DYN (Shared object file)	winex11.so	8	ntdll.so|win32u.so|libandroid-sysvshm.so|libXext.so|libX11.so|libm.so|libdl.so|libc.so	3	353	0	0	memfd|ntdll|steam|vulkan|wine|wow64|x11
lib__wine__aarch64-unix__winspool.so	lib/wine/aarch64-unix/winspool.so	elf	misc	True	11536	a94f0afe8b716eae70915ca3a8d767f677ad40e5020025d3d15baca324122e1b	ELF64	AArch64	DYN (Shared object file)	winspool.so	3	ntdll.so|libdl.so|libc.so	2	11	0	0	ntdll|wine|wow64
lib__wine__aarch64-unix__ws2_32.so	lib/wine/aarch64-unix/ws2_32.so	elf	misc	True	26904	b3686ffe5146e24e01cd95cfd182ec4dc72a899df8d746336b57f40d563c1472	ELF64	AArch64	DYN (Shared object file)	ws2_32.so	3	ntdll.so|libdl.so|libc.so	2	27	0	0	ntdll|wine|wow64
lib__wine__aarch64-windows__acledit.dll	lib/wine/aarch64-windows/acledit.dll	pe	misc	True	114688	be1b87e4ede10098bef67d37686040905cd2440304f4fd2836f3974310b72abd		unknown		acledit.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__aclui.dll	lib/wine/aarch64-windows/aclui.dll	pe	misc	True	196608	8c686422b2ac76d012139c567047c95b1e652167cd74c7fa80a64a0580d910bf		unknown		aclui.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__activeds.dll	lib/wine/aarch64-windows/activeds.dll	pe	misc	True	843776	a644bfd42679ded506249c28d9ef90fe768b8605531ccaa6894adc6f0d070a19		unknown		activeds.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
