id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__i386-windows__sfc.dll	lib/wine/i386-windows/sfc.dll	pe	misc	True	8192	0057b2e740bbffcedf1bc1c0b706b38bd1d89674b826882386532b0f70215411		unknown		sfc.dll	0		0	0	0	0	wine
lib__wine__i386-windows__sfc_os.dll	lib/wine/i386-windows/sfc_os.dll	pe	misc	True	77824	d3db32f370ae8e14af492b0bb54921fcf8f5ed9522e1a334d44c97c4440a9663		unknown		sfc_os.dll	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__sharedgpures.sys	lib/wine/i386-windows/sharedgpures.sys	pe	cpu_translation	True	94208	e23fea694017cd3f7004c2e86603ce5d2694e1e2a36a2e74beebd495d56b25af		unknown		sharedgpures.sys	3	ntoskrnl.exe|ucrtbase.dll|kernel32.dll	0	0	0	0	fex|kernel32|proton|wine
lib__wine__i386-windows__shcore.dll	lib/wine/i386-windows/shcore.dll	pe	misc	True	229376	b2dd6bfaff3670f98c37025972fdb80cfa1e3ffa8d5d23917fa2d56b3e4a0eae		unknown		shcore.dll	4	advapi32.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__i386-windows__shdoclc.dll	lib/wine/i386-windows/shdoclc.dll	pe	misc	True	12288	1d0631aba0de851020fc92e8c359bfc4b8e0a49f7878065f2ead4569547bee4c		unknown		shdoclc.dll	0		0	0	0	0	wine
lib__wine__i386-windows__shdocvw.dll	lib/wine/i386-windows/shdocvw.dll	pe	misc	True	499712	054784ac46bcc8b00e456d5d14dd5194bcfe0eb05b32eee1dee303efa2eb4a49		unknown		shdocvw.dll	5	shlwapi.dll|advapi32.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__shell32.dll	lib/wine/i386-windows/shell32.dll	pe	cpu_translation	True	11833344	cfa51957c03c6a4221518c12dad70629d57e1bff5cb6a71e6d7fd41e042a60a8		unknown		shell32.dll	7	shlwapi.dll|user32.dll|gdi32.dll|advapi32.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|memfd|ntdll|proton|wine|wow64
lib__wine__i386-windows__shfolder.dll	lib/wine/i386-windows/shfolder.dll	pe	misc	True	45056	47a607bd221d827e1110dcc657b8c38bac26a20ad830fe5ac6630ca420c676b7		unknown		shfolder.dll	1	kernel32.dll	0	0	0	0	kernel32|proton|wine
lib__wine__i386-windows__shlwapi.dll	lib/wine/i386-windows/shlwapi.dll	pe	cpu_translation	True	917504	9f1baad75dddc21eb48fa55aedc4e112479c72c812fcae2f70d799dba9677a61		unknown		shlwapi.dll	8	shcore.dll|user32.dll|gdi32.dll|advapi32.dll|kernelbase.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__shutdown.exe	lib/wine/i386-windows/shutdown.exe	pe	misc	True	73728	d838cb2b2d30d6a0f030679c23bd57811a42e4d2e5342f57cf779853298ec353		unknown		shutdown.exe	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__slbcsp.dll	lib/wine/i386-windows/slbcsp.dll	pe	misc	True	61440	bfb3124a7121fdfd4ae258ae49cf50a3422c06203107f8e4a2b992381fe1cd47		unknown		slbcsp.dll	1	kernel32.dll	0	0	0	0	kernel32|proton|wine
lib__wine__i386-windows__slc.dll	lib/wine/i386-windows/slc.dll	pe	misc	True	77824	94ee7e211e9b21316c9e72e1f63fda3f5438f265050747d9b9a67134c5368d84		unknown		slc.dll	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__snmpapi.dll	lib/wine/i386-windows/snmpapi.dll	pe	misc	True	94208	1852fd447f3c7a50ed9f7c0e4c9e30e176db4ae47f901d83139ae13b695c2593		unknown		snmpapi.dll	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__softpub.dll	lib/wine/i386-windows/softpub.dll	pe	misc	True	45056	32baca5dded05f86eb55f2abdb893c07c82c2abd7be5a07350592a3d0f31bf0b		unknown		softpub.dll	1	kernel32.dll	0	0	0	0	kernel32|proton|wine
lib__wine__i386-windows__sort.exe	lib/wine/i386-windows/sort.exe	pe	misc	True	90112	b53c6eddb0fb266571d2d176799f71deecd35471cfa916ff9e5b8e20359b7bdd		unknown		sort.exe	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__spoolss.dll	lib/wine/i386-windows/spoolss.dll	pe	misc	True	131072	4152b0559524898c9b11aa1181819d85bebea85b5e51a7532c2d66253bb16618		unknown		spoolss.dll	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__spoolsv.exe	lib/wine/i386-windows/spoolsv.exe	pe	misc	True	77824	c628832a4cd8e8ebc2afa85e70864ed1ade8d4f0ee487620347f5d673f027548		unknown		spoolsv.exe	4	advapi32.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
