id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__ncrypt.dll	lib/wine/aarch64-windows/ncrypt.dll	pe	misc	True	983040	dd9b72d4705b3f663b573495e1dc3a700ade2a49490c166903a71f53fafa61c5		unknown		ncrypt.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__nddeapi.dll	lib/wine/aarch64-windows/nddeapi.dll	pe	misc	True	983040	54982e705b763abab34a4cc8fd4c9ad007a6e0b6196163e7b8701b3fef4afb0f		unknown		nddeapi.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__ndis.sys	lib/wine/aarch64-windows/ndis.sys	pe	cpu_translation	True	983040	1d0d7c56eed51c5607abaec67f25b88cda57290caa388ca1c7fb2e5a9c4758e7		unknown		ndis.sys	0		0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__net.exe	lib/wine/aarch64-windows/net.exe	pe	misc	True	917504	6f427b3a6536510f41512a24e7a1c32646cc068a494f43d9d846579970fe6501		unknown		net.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__netapi32.dll	lib/wine/aarch64-windows/netapi32.dll	pe	cpu_translation	True	1638400	53cf969eb2ed328c21e4f28bc9641bd82e604f6aeeafc3bc2be1fbd946fb947d		unknown		netapi32.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__netcfgx.dll	lib/wine/aarch64-windows/netcfgx.dll	pe	misc	True	1507328	a3d397fa65a9bc6c216ac8dee161222231a02c6f9447fa0096d88e678b55ea66		unknown		netcfgx.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__netio.sys	lib/wine/aarch64-windows/netio.sys	pe	cpu_translation	True	1179648	4a52e97f24aea0e4e9fdda4e173b9aa67bff84ba0777cb1f05d984a5dd9f5f4d		unknown		netio.sys	0		0	0	0	0	fex|kernel32|proton|wine
lib__wine__aarch64-windows__netprofm.dll	lib/wine/aarch64-windows/netprofm.dll	pe	misc	True	1179648	c62177944e2624740bfc3046d152cdfd39f9966d0fd6f186cca0c2186434fd9a		unknown		netprofm.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__netsh.exe	lib/wine/aarch64-windows/netsh.exe	pe	misc	True	983040	d14d432c15ee8c77c6a3e14fd96e2475ad9f04a485ddae5e5f24ce7835c0788d		unknown		netsh.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__netstat.exe	lib/wine/aarch64-windows/netstat.exe	pe	misc	True	917504	5becff9d1762b2b63e2602749b24872fe7b3404027bbe5f776a0707c29f3ab03		unknown		netstat.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
