id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__pwrshplugin.dll	lib/wine/aarch64-windows/pwrshplugin.dll	pe	misc	True	81920	6cec187b536473ed998b9e6a9244afde60e889642315600ba8523cdfcca02299		unknown		pwrshplugin.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__qasf.dll	lib/wine/aarch64-windows/qasf.dll	pe	misc	True	1912832	dce2c4e8417baba61fbeceaeb6633e6f8a564b10c4d73e42a399890a62b44a35		unknown		qasf.dll	0		0	0	0	0	WRAPPER_|kernel32|proton|steam|wine
lib__wine__aarch64-windows__qcap.dll	lib/wine/aarch64-windows/qcap.dll	pe	cpu_translation	True	2506752	c15e23af4019c5b80f57bac5995fdd53c57804f3eedb64065e9b0948f6a949c1		unknown		qcap.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__qdvd.dll	lib/wine/aarch64-windows/qdvd.dll	pe	misc	True	1183744	232e40c169bdf9250b17f4e7ef27acf250fc5deb08646c096542ad64eeec8809		unknown		qdvd.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__qedit.dll	lib/wine/aarch64-windows/qedit.dll	pe	misc	True	2154496	1e63cd63d70acfd3102a2f83da162eb587a13e48d748fe5da3c240c5efc222f6		unknown		qedit.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__qmgr.dll	lib/wine/aarch64-windows/qmgr.dll	pe	misc	True	1138688	d93b94da4e960cb9a82aecdafef2a406b8a507f4dcbce3b794172bc81da6b455		unknown		qmgr.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__qmgrprxy.dll	lib/wine/aarch64-windows/qmgrprxy.dll	pe	misc	True	204800	fb0f1b31d96297666f08c798af01911ee88c0259a0dacc5b1e3d4087999d66b5		unknown		qmgrprxy.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__quartz.dll	lib/wine/aarch64-windows/quartz.dll	pe	misc	True	4993024	925060d465834d0d3b597edc6db13bab7951b30daf2638fc49c6dbd96e240e28		unknown		quartz.dll	0		0	0	0	0	WRAPPER_|kernel32|proton|steam|wine
lib__wine__aarch64-windows__query.dll	lib/wine/aarch64-windows/query.dll	pe	misc	True	167936	89d37a81ca44aab6e120e70c000944cc1b56ee980e9ca1e2c90edf52b1cefb14		unknown		query.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__qwave.dll	lib/wine/aarch64-windows/qwave.dll	pe	misc	True	131072	ae481c8c1dd91203838764df844150d0732e2fd8b06841dfee98afe25044d297		unknown		qwave.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__rasapi32.dll	lib/wine/aarch64-windows/rasapi32.dll	pe	misc	True	253952	646b5d28253d2139f9a103f0539c42445691b9e4f7563b9978750a4b38e72301		unknown		rasapi32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__rasdlg.dll	lib/wine/aarch64-windows/rasdlg.dll	pe	misc	True	135168	f5a0b91a68a907ee7369fe7d85cdfa8d6dffdd8ed7e4cb6e5c8d63189010a633		unknown		rasdlg.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__reg.exe	lib/wine/aarch64-windows/reg.exe	pe	misc	True	233472	1ed0d8f00fa59089cf9b16cb37b991e67ba322da7c42e3f3dc29f9c800d9c3ef		unknown		reg.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__regapi.dll	lib/wine/aarch64-windows/regapi.dll	pe	misc	True	86016	a89fb53d509c080634792557e35efcbe4b67029cb46bb3522278c3009d452950		unknown		regapi.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__regasm.exe	lib/wine/aarch64-windows/regasm.exe	pe	misc	True	90112	67dfa506be0a0f32aea97dd511936f373d1e92b11e90e46f4b6e95a8bb949ee4		unknown		regasm.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
